issue,fix-commit,tests
TIKA-418,b471e61c790dcd9f6ad6be77f46f2e07afc56947,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/microsoft/ooxml/OOXMLParserTest.java']
TIKA-418,b2b3685e8a3b9cddde06fe77bf7c3d1ed9ba4899,[]
TIKA-422,cd4dff4df0699bcaebf4fc7f3e59ef77b9a9ba47,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/TestParsers.java']
TIKA-425,b12228176d847064d8b48a6af82b9bb47b3d6740,[]
TIKA-426,29972fd0e4cfcb772ae465b26b50230313f9c8a4,[]
TIKA-431,b7ada46ce72027b5a5c5a0bd455aaaff38144b51,[]
TIKA-431,09c6122d4cb05da6a3e9d4b0eaaf3d5ecfc33d61,[]
TIKA-431,7d89a5e455686a945f2e3302f0d201e5e6c4a985,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/mime/MimeTypesTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/txt/TXTParserTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/mime/MimeDetectionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/mime/TestMimeTypes.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/detect/TextDetectorTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/AutoDetectParserTest.java']"
TIKA-434,3c3e6d1fa65db1b5d8c01bb42a5da85bbde67bcc,[]
TIKA-434,31ce68f698019a9051011faa6bbb47b082ed210a,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-441,97549f630d1971525d9b34f9af8b85e57212e500,[]
TIKA-448,aea844ec10793bb440b0b1121cf7dba42bc13b16,[]
TIKA-453,ed34e70f0ba7fc01769bed8dbf7f65a1a9058ec0,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/language/LanguageIdentifierTest.java']
TIKA-454,3cebb673fef211cfbde44f2dfdda47bb20f98ee2,[]
TIKA-457,e347b9887b6f02c00082c393b5a80d2126539995,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-457,163d93c4e1e78a27b5dcd9502c2a4757fbd53b7d,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-460,52664ffad6df20f8c864f3f22ca5ca22759fddc9,[]
TIKA-462,d4a401460f56870c5085d87ec4f4856b6e6aacf3,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-463,ed7a1d1bda0d981359261c20e8617a73d7dc482b,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-463,e347b9887b6f02c00082c393b5a80d2126539995,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-463,163d93c4e1e78a27b5dcd9502c2a4757fbd53b7d,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-463,31345be7c8cd6e347d0f7aeab12d99ed44187145,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-475,c730e0ddfd1568e268d9dc45132108c8226855e1,[]
TIKA-478,a1c050381e3cd2fff0ee9144f2d867d0491a1cdc,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-478,486281b69d4d0f83ec4c35b85514b18b90a17eb8,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-480,fed8c465cd4b6b6fd4158b284b317806064f0a33,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-481,4f6a589842f4648f23a0d9e4bac5283893cac9da,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java']
TIKA-483,98eb0b0ec46c8a826a8a76a52636d8cc617d3201,"[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/mime/MimeDetectionTest.java', u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/detect/TextDetectorTest.java']"
TIKA-495,d32c1d879287b4b9ed81f1cd3b6b52025683f5f1,[]
TIKA-498,31452f9fdf15ef93f05cacf2a4f0bad530b89714,[]
TIKA-501,05acb51341cf2fd112ecbc8da517a33141b3a434,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/txt/TXTParserTest.java']
TIKA-511,453ae26882aa74faf4121b0713fd8d815e8804b7,[]
TIKA-515,c496ffa3a53dab8d8992b75e27b7475fb6e407f3,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-core/src/test/java/org/apache/tika/mime/MimeTypesReaderTest.java']
TIKA-520,0abbfee21acacabadd74211921ed7c047201f68a,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/parser/dwg/DWGParserTest.java']
TIKA-521,9fbce438928982a43fa2ffac51d8550d39a47bef,[u'C:\\Code\\Lab\\BugMiner\\tested_project\\tika\\tika-parsers/src/test/java/org/apache/tika/detect/TestContainerAwareDetector.java']
TIKA-525,6fd7bb8c982a554b4f4260d77578773a8d51bf89,[]
TIKA-529,a157a6f025c4b5eda63881124919b4271f85ba0b,[]
