issue,complete,valid_0,valid_1,valid_2,valid_3
TIKA-1228,False,False,False,False,False,False
TIKA-1229,False,False,False,False,False,False
COMPRESS-272,False,False,False,False,False,False
TIKA-1279,False,False,False,False,False,False
COMPRESS-179,False,False,False,False,False,False
COMPRESS-178,False,False,False,False,False,False
LANG-836,True,False,False,False,False,False
COMPRESS-176,False,False,False,False,False,False
TIKA-501,False,False,False,False,False,False
LANG-832,True,False,False,False,False,False
COMPRESS-171,False,False,True,True,True,True
LANG-831,True,False,False,False,False,False
TIKA-2078,False,False,False,False,False,False
COMPRESS-73,True,False,False,False,False,False
MATH-320,False,False,True,True,True,True
TIKA-1549,False,False,False,False,False,False
TIKA-1115,False,False,False,False,False,False
MATH-1302,False,False,False,False,False,False
MATH-1303,False,False,False,False,False,False
MATH-1300,False,False,False,False,False,False
MATH-409,False,False,False,False,False,False
MATH-405,False,False,True,True,True,True
MATH-404,True,False,False,False,False,False
MATH-406,False,False,False,True,True,False
MATH-1096,True,False,False,False,False,False
COMPRESS-87,True,False,False,False,False,False
MATH-151,False,False,False,False,False,False
TIKA-1317,False,False,False,False,False,False
TIKA-1251,False,False,False,False,False,False
TIKA-1678,False,False,False,False,False,False
TIKA-1252,False,False,False,False,False,False
TIKA-1255,False,False,False,False,False,False
COMPRESS-309,False,False,False,False,False,False
TIKA-1257,False,False,False,False,False,False
MATH-395,False,False,True,True,True,True
COMPRESS-306,False,False,False,False,False,False
TIKA-1708,False,False,False,False,False,False
MATH-391,False,False,False,False,False,False
COMPRESS-301,False,False,False,False,False,False
MATH-393,False,False,True,True,True,True
MATH-392,False,False,True,True,True,True
TIKA-1078,False,False,False,False,False,False
LANG-281,False,False,False,False,False,False
TIKA-1489,False,False,False,False,False,False
TIKA-1700,True,False,False,False,False,False
TIKA-1021,False,False,False,False,False,False
MATH-279,False,False,True,True,True,True
MATH-645,False,False,False,False,False,False
LANG-905,False,False,False,False,False,False
MATH-272,False,False,False,False,False,False
MATH-273,False,False,False,True,False,False
LANG-1337,False,False,False,False,False,False
TIKA-434,True,False,False,False,False,False
TIKA-2089,False,False,False,False,False,False
MATH-274,False,False,False,False,False,False
MATH-573,False,False,False,False,False,False
MATH-1121,False,False,False,False,False,False
MATH-575,False,False,False,False,False,False
MATH-470,False,False,False,False,False,False
MATH-471,False,False,False,False,False,False
TIKA-1006,False,False,False,False,False,False
TIKA-717,False,False,False,False,False,False
MATH-475,False,False,False,False,False,False
LANG-1228,False,False,False,False,False,False
TIKA-1927,False,False,True,True,False,True
LANG-693,True,False,False,False,False,False
TIKA-794,False,False,False,False,False,False
MATH-1232,False,False,False,False,False,False
TIKA-793,False,False,False,False,False,False
MATH-1230,False,False,False,False,False,False
MATH-1231,False,False,False,False,False,False
LANG-1090,False,False,False,False,False,False
TIKA-910,False,False,False,False,False,False
LANG-1092,False,False,False,False,False,False
MATH-879,False,False,True,True,False,True
MATH-1129,False,False,False,True,True,True
TIKA-645,False,False,True,True,True,True
TIKA-311,False,False,False,False,False,False
LANG-1241,False,False,False,False,False,False
TIKA-693,True,False,False,False,False,False
TIKA-720,False,False,True,True,True,True
TIKA-725,False,False,False,False,False,False
TIKA-692,True,False,False,False,False,False
LANG-995,False,False,False,False,True,False
MATH-880,False,False,True,True,True,True
TIKA-480,False,False,False,False,False,False
LANG-624,True,False,False,False,False,False
TIKA-453,False,False,False,False,False,False
LANG-992,False,False,False,True,True,False
TIKA-1795,False,False,False,True,False,False
TIKA-866,False,False,False,False,False,False
TIKA-948,False,False,False,False,False,True
LANG-571,False,False,True,True,True,True
TIKA-1673,False,False,False,False,False,False
MATH-1045,False,False,False,False,False,False
LANG-477,True,False,False,False,False,False
TIKA-869,False,False,True,True,True,True
TIKA-1845,False,False,False,False,False,False
MATH-1123,False,False,False,False,False,False
MATH-757,False,False,False,False,False,False
MATH-293,False,False,True,False,False,False
MATH-618,False,False,True,True,True,False
MATH-1127,False,False,False,False,False,False
MATH-1124,False,False,True,True,False,True
TIKA-1544,False,False,False,False,False,False
MATH-1283,False,False,False,False,False,False
MATH-704,False,False,False,False,False,False
MATH-904,False,False,False,False,False,False
MATH-905,False,False,False,False,False,False
MATH-1284,False,False,False,False,False,False
LANG-879,True,False,False,False,False,False
TIKA-1681,False,False,False,False,False,False
TIKA-831,False,False,False,False,False,False
LANG-1061,False,False,False,False,False,False
LANG-1060,False,False,False,True,False,False
TIKA-268,False,False,False,False,False,False
TIKA-462,True,False,False,False,False,False
LANG-1142,False,False,False,False,False,False
MATH-935,False,False,False,False,False,True
LANG-1141,False,False,False,False,False,False
LANG-1069,False,False,False,False,False,False
LANG-1147,False,False,False,False,False,False
MATH-1277,False,False,False,False,False,False
TIKA-140,False,False,False,False,False,False
TIKA-2037,False,False,False,False,False,False
LANG-277,False,False,False,False,False,False
MATH-1342,False,False,False,False,False,False
MATH-1341,False,False,False,False,False,False
LANG-278,False,False,False,False,False,False
LANG-279,False,False,False,False,False,False
MATH-1460,False,False,False,False,False,False
MATH-720,False,False,True,False,False,False
MATH-358,False,False,True,False,False,False
MATH-722,False,False,True,True,True,True
COMPRESS-479,False,False,False,False,False,False
MATH-724,False,False,True,True,True,True
MATH-727,False,False,True,True,False,True
MATH-728,False,False,False,False,False,False
MATH-352,False,False,False,False,False,False
COMPRESS-475,False,False,True,True,True,True
MATH-836,False,False,True,True,False,False
COMPRESS-229,False,False,False,False,False,False
COMPRESS-228,False,False,False,False,False,False
COMPRESS-227,False,False,False,False,False,False
TIKA-2026,False,False,False,False,False,False
COMPRESS-28,True,False,False,False,False,False
TIKA-1031,False,False,False,False,False,False
TIKA-1033,False,False,False,False,False,False
TIKA-1032,False,False,False,False,False,False
TIKA-1916,False,False,False,False,False,False
TIKA-1914,False,False,False,False,False,False
TIKA-1529,True,False,False,False,False,False
TIKA-2040,False,False,True,True,False,True
TIKA-2047,False,False,False,False,False,False
TIKA-656,True,False,False,False,False,False
LANG-300,True,False,False,False,False,False
TIKA-2048,False,False,False,False,False,False
LANG-303,True,False,False,False,False,False
LANG-304,True,False,False,False,False,False
LANG-421,True,False,False,False,False,False
MATH-1092,False,False,False,False,False,False
MATH-434,False,False,True,False,True,False
TIKA-1322,False,False,False,False,False,False
MATH-430,False,False,False,False,False,False
TIKA-1454,False,False,False,False,False,False
TIKA-1459,False,False,False,False,False,False
TIKA-548,True,False,False,False,False,False
TIKA-1622,False,False,False,False,False,False
TIKA-1623,False,False,False,False,False,False
LANG-1292,False,False,False,False,False,False
TIKA-1629,False,False,False,False,False,False
TIKA-1145,False,False,False,False,False,False
TIKA-1147,False,False,False,False,False,False
